gid	pegs	rnas	scientific_name	complete	prokaryotic	dna_size	contigs	domain	genetic_code	gc_content	phenotype	g_source_id	taxonomy
kb|g.10053	5268	68	Salmonella enterica subsp. enterica serovar Typhi str. E00-7866	1	1	4760021	1445	Bacteria	11	52.0303166729727		497976	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Salmonella : Salmonella enterica subsp. enterica serovar Typhi : Salmonella enterica subsp. enterica serovar Typhi str. E00-7866
kb|g.10055	708	0	Borrelia burgdorferi WI91-23	1	1	525599	20	Bacteria	11	27.7801137368983		498737	Bacteria : Spirochaetes : Spirochaetales : Spirochaetaceae : Borrelia : Borrelia burgdorferi group : Borrelia burgdorferi WI91-23
kb|g.10056	521	0	Borrelia burgdorferi CA-11.2a	1	1	386788	12	Bacteria	11	27.6164203646442		498739	Bacteria : Spirochaetes : Spirochaetales : Spirochaetaceae : Borrelia : Borrelia burgdorferi group : Borrelia burgdorferi
kb|g.10057	328	0	Borrelia spielmanii A14S	1	1	240989	8	Bacteria	11	25.5733664192142		498742	Bacteria : Spirochaetes : Spirochaetales : Spirochaetaceae : Borrelia : Borrelia burgdorferi group : Borrelia spielmanii A14S
kb|g.10058	524	0	Borrelia garinii PBr	1	1	361721	11	Bacteria	11	26.9188131183979		498743	Bacteria : Spirochaetes : Spirochaetales : Spirochaetaceae : Borrelia : Borrelia burgdorferi group : Borrelia garinii PBr
kb|g.1006	4749	108	Yersinia pseudotuberculosis IP 31758	1	1	4935125	3	Bacteria	11	47.2277399255338		349747.9	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Yersinia : Yersinia pseudotuberculosis IP 31758
kb|g.10061	4	0	Pirital virus	1	0	10482	2	Viruses	11	40.4598359091776		49891	Viruses : ssRNA negative-strand viruses : Arenaviridae : Arenavirus : New world arenaviruses : Pirital virus
kb|g.10062	2898	41	Helicobacter pylori HPKX_438_AG0C1	1	1	1819663	2602	Bacteria	11	39.4872567063242		499171	Bacteria : Proteobacteria : Epsilonproteobacteria : Campylobacterales : Helicobacteraceae : Helicobacter : Helicobacter pylori HPKX_438_AG0C1
kb|g.10063	3925	37	Helicobacter pylori HPKX_438_CA4C1	1	1	1566388	3766	Bacteria	11	39.1878640541169		499172	Bacteria : Proteobacteria : Epsilonproteobacteria : Campylobacterales : Helicobacteraceae : Helicobacter : Helicobacter pylori HPKX_438_CA4C1
kb|g.10064	86	0	Myxococcus phage Mx8	1	0	49534	1	Viruses	11	67.7453870069044		49964	Viruses : dsDNA viruses, no RNA stage : Caudovirales : Podoviridae : Myxococcus phage Mx8
kb|g.10065	2271	33	Clostridium hiranonis DSM 13275	1	1	2423348	127	Bacteria	11	31.0155206763535		500633	Bacteria : Firmicutes : Clostridia : Clostridiales : Clostridiaceae : Clostridium : Clostridium hiranonis DSM 13275
kb|g.10066	3856	87	Providencia rustigianii DSM 4541	1	1	3896203	169	Bacteria	11	41.1441344303672		500637	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Providencia : Providencia rustigianii DSM 4541
kb|g.10067	4753	137	Escherichia albertii TW07627	1	1	4698533	64	Bacteria	11	49.8831869436694		502347	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Escherichia : Escherichia albertii TW07627
kb|g.10068	8733	0	Paracoccidioides brasiliensis pb18 1	1	0	29952433	57	Eukaryota	11	43.5365701343861		502780	Eukaryota : Fungi : Dikarya : Ascomycota : Pezizomycotina : Eurotiomycetes : Eurotiomycetidae : Onygenales : mitosporic Onygenales : Paracoccidioides : Paracoccidioides brasiliensis
kb|g.1007	4148	138	Yersinia intermedia ATCC 29909	1	1	4677210	117	Bacteria	11	47.4168574855523		349965.3	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Yersinia : Yersinia intermedia ATCC 29909
kb|g.10070	73	0	Psittacid herpesvirus 1	1	0	163025	1	Viruses	11	60.9458671982825		50294	Viruses : dsDNA viruses, no RNA stage : Herpesvirales : Herpesviridae : Alphaherpesvirinae : Iltovirus : Psittacid herpesvirus 1
kb|g.10073	0	25	Aspergillus oryzae	1	0	29202	1	Eukaryota	11	26.1523183343607		5062	Eukaryota : Fungi : Dikarya : Ascomycota : Pezizomycotina : Eurotiomycetes : Eurotiomycetidae : Eurotiales : Trichocomaceae : mitosporic Trichocomaceae : Aspergillus : Aspergillus oryzae
kb|g.10074	16	27	Aspergillus tubingensis	1	0	33656	1	Eukaryota	11	26.7768005704778		5068	Eukaryota : Fungi : Dikarya : Ascomycota : Pezizomycotina : Eurotiomycetes : Eurotiomycetidae : Eurotiales : Trichocomaceae : mitosporic Trichocomaceae : Aspergillus : Aspergillus tubingensis
kb|g.10076	2	0	Broad bean wilt virus 1	1	0	9263	2	Viruses	11	42.9774371154054		50817	Viruses : ssRNA positive-strand viruses, no DNA stage : Picornavirales : Secoviridae : Comovirinae : Fabavirus : Broad bean wilt virus 1
kb|g.1008	4310	92	Yersinia intermedia ATCC 29909	1	1	4711317	123	Bacteria	11	47.4441010868086		349965.6	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Yersinia : Yersinia intermedia ATCC 29909
kb|g.10080	274	0	Enterobacteria phage RB49	1	0	164018	1	Viruses	11	40.4419027179944		50948	Viruses : dsDNA viruses, no RNA stage : Caudovirales : Myoviridae : T4-like viruses : Enterobacteria phage RB49
kb|g.10081	7	0	Sida golden mosaic virus	1	0	5227	2	Viruses	11	46.6806963841592		51034	Viruses : ssDNA viruses : Geminiviridae : Begomovirus : Sida golden mosaic virus
kb|g.10083	1	0	Cryphonectria parasitica	1	0	1364	1	Eukaryota	11	44.1348973607038		5116	Eukaryota : Fungi : Dikarya : Ascomycota : Pezizomycotina : Sordariomycetes : Sordariomycetidae : Diaporthales : Cryphonectriaceae : Cryphonectria-Endothia complex : Cryphonectria : Cryphonectria parasitica
kb|g.10088	137	0	Helicoverpa armigera NPV	1	0	130759	1	Viruses	11	38.9204567180844		51313	Viruses : dsDNA viruses, no RNA stage : Baculoviridae : Alphabaculovirus : Helicoverpa armigera NPV
kb|g.10089	12	0	Cucurbit yellow stunting disorder virus	1	0	17099	2	Viruses	11	36.9846189835663		51330	Viruses : ssRNA positive-strand viruses, no DNA stage : Closteroviridae : Crinivirus : Cucurbit yellow stunting disorder virus
kb|g.1009	4321	132	Yersinia frederiksenii ATCC 33641	1	1	4845578	93	Bacteria	11	46.9043734307858		349966.3	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Yersinia : Yersinia frederiksenii ATCC 33641
kb|g.10090	7	0	Cabbage leaf curl virus	1	0	5096	2	Viruses	11	42.7590266875981		51336	Viruses : ssDNA viruses : Geminiviridae : Begomovirus : Cabbage leaf curl virus
kb|g.10091	1	0	Maize chlorotic dwarf virus	1	0	11832	1	Viruses	11	42.2413793103448		51354	Viruses : ssRNA positive-strand viruses, no DNA stage : Picornavirales : Secoviridae : Waikavirus : Maize chlorotic dwarf virus
kb|g.10092	2	0	Mycoplasma yeatsii	1	1	3432	1	Bacteria	11	28.030303030303		51365	Bacteria : Tenericutes : Mollicutes : Mycoplasmataceae : Mycoplasma : Mycoplasma yeatsii
kb|g.10093	61	0	Lactobacillus phage A2	1	0	43411	1	Viruses	11	44.889544124761		51369	Viruses : dsDNA viruses, no RNA stage : Caudovirales : Siphoviridae : Lactobacillus phage A2
kb|g.10094	3	0	Neurospora intermedia	1	0	14805	3	Eukaryota	11	33.0563998649105		5142	Eukaryota : Fungi : Dikarya : Ascomycota : Pezizomycotina : Sordariomycetes : Sordariomycetidae : Sordariales : Sordariaceae : Neurospora : Neurospora intermedia
kb|g.10095	4266	49	Mycobacterium tuberculosis 02_1987	1	1	4443138	215	Bacteria	11	65.3182502996756		515616	Bacteria : Actinobacteria : Actinobacteridae : Actinomycetales : Corynebacterineae : Mycobacteriaceae : Mycobacterium : Mycobacterium tuberculosis complex : Mycobacterium tuberculosis 02_1987
kb|g.10096	4254	44	Mycobacterium tuberculosis T92	1	1	4260358	563	Bacteria	11	65.127226397406		515617	Bacteria : Actinobacteria : Actinobacteridae : Actinomycetales : Corynebacterineae : Mycobacteriaceae : Mycobacterium : Mycobacterium tuberculosis complex : Mycobacterium tuberculosis T92
kb|g.101	2132	48	Francisella tularensis subsp. holarctica	1	1	1895994	1	Bacteria	11	32.1526333944095		119857.20	Bacteria : Proteobacteria : Gammaproteobacteria : Thiotrichales : Francisellaceae : Francisella : Francisella tularensis subsp. holarctica
kb|g.1010	4519	75	Yersinia frederiksenii ATCC 33641	1	1	4885341	161	Bacteria	11	46.9315447990222		349966.5	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Yersinia : Yersinia frederiksenii ATCC 33641
kb|g.10100	3	0	Pediococcus damnosus	1	1	5558	1	Bacteria	11	35.8582223821519		51663	Bacteria : Firmicutes : Lactobacillales : Lactobacillaceae : Pediococcus : Pediococcus damnosus
kb|g.10101	181	0	Xestia c-nigrum granulovirus	1	0	178733	1	Viruses	11	40.6785540443007		51677	Viruses : dsDNA viruses, no RNA stage : Baculoviridae : Betabaculovirus : Xestia c-nigrum granulovirus
kb|g.10102	4	0	Ribgrass mosaic virus	1	0	6301	1	Viruses	11	44.3897794000952		51680	Viruses : ssRNA positive-strand viruses, no DNA stage : Virgaviridae : Tobamovirus : Ribgrass mosaic virus
kb|g.10104	14512	0	Sclerotinia sclerotiorum 1	1	0	38330312	36	Eukaryota	11	41.4824825845404		5180	Eukaryota : Fungi : Dikarya : Ascomycota : Pezizomycotina : Leotiomycetes : Helotiales : Sclerotiniaceae : Sclerotinia : Sclerotinia sclerotiorum
kb|g.10105	2251	58	Bifidobacterium breve DSM 20213	1	1	2297799	187	Bacteria	11	58.5745750607429		518634	Bacteria : Actinobacteria : Actinobacteridae : Bifidobacteriales : Bifidobacteriaceae : Bifidobacterium : Bifidobacterium breve DSM 20213
kb|g.10106	1846	57	Bifidobacterium angulatum DSM 20098	1	1	2000615	52	Bacteria	11	59.3922868717869		518635	Bacteria : Actinobacteria : Actinobacteridae : Bifidobacteriales : Bifidobacteriaceae : Bifidobacterium : Bifidobacterium angulatum DSM 20098
kb|g.10107	2529	49	Eubacterium biforme DSM 3989	1	1	2415920	205	Bacteria	11	33.7890327494288		518637	Bacteria : Firmicutes : Erysipelotrichi : Erysipelotrichales : Erysipelotrichaceae : Eubacterium biforme DSM 3989
kb|g.10108	47	0	Exiguobacterium arabatum	1	1	43508	2	Bacteria	11	46.1386411694401		518693	Bacteria : Firmicutes : Bacillales : Bacillales Family XII. Incertae Sedis : Exiguobacterium : Exiguobacterium arabatum
kb|g.1011	3968	131	Yersinia mollaretii ATCC 43969	1	1	4527725	146	Bacteria	11	49.0065982364212		349967.3	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Yersinia : Yersinia mollaretii ATCC 43969
kb|g.10111	4101	47	Mycobacterium tuberculosis EAS054	1	1	4366920	125	Bacteria	11	65.3371025803083		520140	Bacteria : Actinobacteria : Actinobacteridae : Actinomycetales : Corynebacterineae : Mycobacteriaceae : Mycobacterium : Mycobacterium tuberculosis complex : Mycobacterium tuberculosis EAS054
kb|g.10112	4206	44	Mycobacterium tuberculosis T85	1	1	4299331	324	Bacteria	11	65.321883800061		520141	Bacteria : Actinobacteria : Actinobacteridae : Actinomycetales : Corynebacterineae : Mycobacteriaceae : Mycobacterium : Mycobacterium tuberculosis complex : Mycobacterium tuberculosis T85
kb|g.10113	9	27	Saccharomyces pastorianus Weihenstephan 34/70	1	0	70578	1	Eukaryota	11	19.0824336195415		520522	Eukaryota : Fungi : Dikarya : Ascomycota : Saccharomycotina : Saccharomycetes : Saccharomycetales : Saccharomycetaceae : Saccharomyces : Saccharomyces pastorianus Weihenstephan 34/70
kb|g.10115	4724	67	Providencia rettgeri DSM 1131	1	1	4657150	350	Bacteria	11	40.0758618468377		521000	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Providencia : Providencia rettgeri DSM 1131
kb|g.10117	64	0	Borrelia burgdorferi N40	1	1	53786	1	Bacteria	11	28.1374335328896		521007	Bacteria : Spirochaetes : Spirochaetales : Spirochaetaceae : Borrelia : Borrelia burgdorferi group : Borrelia burgdorferi N40
kb|g.10118	63	0	Borrelia burgdorferi JD1	1	1	52916	1	Bacteria	11	28.1975205986847		521008	Bacteria : Spirochaetes : Spirochaetales : Spirochaetaceae : Borrelia : Borrelia burgdorferi group : Borrelia burgdorferi JD1
kb|g.10119	58	0	Borrelia burgdorferi 297	1	1	48220	1	Bacteria	11	28.260058067192		521009	Bacteria : Spirochaetes : Spirochaetales : Spirochaetaceae : Borrelia : Borrelia burgdorferi group : Borrelia burgdorferi 297
kb|g.1012	4157	68	Yersinia mollaretii ATCC 43969	1	1	4549461	179	Bacteria	11	49.0219390824539		349967.4	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Yersinia : Yersinia mollaretii ATCC 43969
kb|g.10122	27	0	Acinetobacter venetianus	1	1	25955	2	Bacteria	11	35.6386052783664		52133	Bacteria : Proteobacteria : Gammaproteobacteria : Pseudomonadales : Moraxellaceae : Acinetobacter : Acinetobacter venetianus
kb|g.10126	8	2	Saguaro cactus virus	1	0	3879	1	Viruses	11	51.456560969322		52274	Viruses : ssRNA positive-strand viruses, no DNA stage : Tombusviridae : Carmovirus : Saguaro cactus virus
kb|g.1013	3841	137	Yersinia bercovieri ATCC 43970	1	1	4301412	159	Bacteria	11	48.8930611622416		349968.3	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Yersinia : Yersinia bercovieri ATCC 43970
kb|g.10130	85	0	Vibrio tapetis	1	1	82266	1	Bacteria	11	45.4622808936863		52443	Bacteria : Proteobacteria : Gammaproteobacteria : Vibrionales : Vibrionaceae : Vibrio : Vibrio tapetis
kb|g.1014	4061	85	Yersinia bercovieri ATCC 43970	1	1	4347293	229	Bacteria	11	48.9047092063958		349968.5	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Yersinia : Yersinia bercovieri ATCC 43970
kb|g.1015	5711	53	Mycobacterium gilvum PYR-GCK	1	1	5982829	4	Bacteria	11	67.7441056730854		350054.11	Bacteria : Actinobacteria : Actinobacteridae : Actinomycetales : Corynebacterineae : Mycobacteriaceae : Mycobacterium : Mycobacterium gilvum PYR-GCK
kb|g.1016	6199	55	Mycobacterium vanbaalenii PYR-1	1	1	6491865	1	Bacteria	11	67.793122623468		350058.8	Bacteria : Actinobacteria : Actinobacteridae : Actinomycetales : Corynebacterineae : Mycobacteriaceae : Mycobacterium : Mycobacterium vanbaalenii PYR-1
kb|g.1017	3001	103	Alkaliphilus oremlandii OhILAs	1	1	3123558	1	Bacteria	11	36.2573065715444		350688.5	Bacteria : Firmicutes : Clostridia : Clostridiales : Clostridiaceae : Alkaliphilus : Alkaliphilus oremlandii OhILAs
kb|g.1018	5519	63	Burkholderia dolosa AUO158	1	1	6247594	233	Bacteria	11	66.8142808255466		350701.3	Bacteria : Proteobacteria : Betaproteobacteria : Burkholderiales : Burkholderiaceae : Burkholderia : Burkholderia cepacia complex : Burkholderia dolosa AUO158
kb|g.1019	6253	52	Burkholderia dolosa AUO158	1	1	6420400	3	Bacteria	11	65.0159647373995		350701.6	Bacteria : Proteobacteria : Betaproteobacteria : Burkholderiales : Burkholderiaceae : Burkholderia : Burkholderia cepacia complex : Burkholderia dolosa AUO158
kb|g.102	4230	148	Photobacterium sp. SKA34	1	1	4725912	7	Bacteria	11	39.0449504772835		121723.5	Bacteria : Proteobacteria : Gammaproteobacteria : Vibrionales : Vibrionaceae : Photobacterium : Photobacterium sp. SKA34
kb|g.1020	6072	103	Burkholderia cenocepacia PC184	1	1	6927835	174	Bacteria	11	66.8223478186187		350702.3	Bacteria : Proteobacteria : Betaproteobacteria : Burkholderiales : Burkholderiaceae : Burkholderia : Burkholderia cepacia complex : Burkholderia cenocepacia PC184
kb|g.1021	6689	53	Burkholderia cenocepacia PC184	1	1	7035166	3	Bacteria	11	65.8028822631904		350702.6	Bacteria : Proteobacteria : Betaproteobacteria : Burkholderiales : Burkholderiaceae : Burkholderia : Burkholderia cepacia complex : Burkholderia cenocepacia PC184
kb|g.1022	6167	68	Pseudomonas aeruginosa 2192	1	1	6826253	82	Bacteria	11	66.1761144803745		350703.3	Bacteria : Proteobacteria : Gammaproteobacteria : Pseudomonadales : Pseudomonadaceae : Pseudomonas : Pseudomonas aeruginosa 2192
kb|g.1023	6490	46	Pseudomonas aeruginosa 2192	1	1	6905121	1	Bacteria	11	65.4202728670504		350703.9	Bacteria : Proteobacteria : Gammaproteobacteria : Pseudomonadales : Pseudomonadaceae : Pseudomonas : Pseudomonas aeruginosa 2192
kb|g.1024	5950	46	Pseudomonas aeruginosa C3719	1	1	6222097	1	Bacteria	11	65.6994579158763		350704.7	Bacteria : Proteobacteria : Gammaproteobacteria : Pseudomonadales : Pseudomonadaceae : Pseudomonas : Pseudomonas aeruginosa C3719
