mid	mod_date	name	version	type	status	reaction_count	compound_count	annotation_count	gid	pegs	rnas	scientific_name	complete	prokaryotic	dna_size	contigs	domain	genetic_code	gc_content	phenotype	g_source_id	taxonomy
kb|fm.4996	1351030433	Debaryomyces hansenii	0	Singlegenome	Reconstruction started	22	95	41	kb|g.10048	14	27	Debaryomyces hansenii	1	0	29462	1	Eukaryota	11	27.007670898106		4959	Eukaryota : Fungi : Dikarya : Ascomycota : Saccharomycotina : Saccharomycetes : Saccharomycetales : Debaryomycetaceae : Debaryomyces : Debaryomyces hansenii
kb|fm.5025	1351030443	Salmonella enterica subsp. enterica serovar Typhi str. M223	0	Singlegenome	Reconstruction started	60	169	6850	kb|g.10049	6743	65	Salmonella enterica subsp. enterica serovar Typhi str. M223	1	1	5029086	3023	Bacteria	11	52.0305081281171		496066	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Salmonella : Salmonella enterica subsp. enterica serovar Typhi : Salmonella enterica subsp. enterica serovar Typhi str. M223
kb|fm.5031	1351030447	Salmonella enterica subsp. enterica serovar Typhi str. J185	0	Singlegenome	Reconstruction started	61	174	5151	kb|g.10050	5041	66	Salmonella enterica subsp. enterica serovar Typhi str. J185	1	1	4743914	1065	Bacteria	11	52.1552456473705		496067	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Salmonella : Salmonella enterica subsp. enterica serovar Typhi : Salmonella enterica subsp. enterica serovar Typhi str. J185
kb|fm.4999	1351030459	Salmonella enterica subsp. enterica serovar Typhi str. E01-6750	0	Singlegenome	Reconstruction started	67	185	7453	kb|g.10052	7397	56	Salmonella enterica subsp. enterica serovar Typhi str. E01-6750	1	1	4584108	4564	Bacteria	11	51.9579163492658		497975	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Salmonella : Salmonella enterica subsp. enterica serovar Typhi : Salmonella enterica subsp. enterica serovar Typhi str. E01-6750
kb|fm.5043	1351030456	Salmonella enterica subsp. enterica serovar Typhi str. E00-7866	0	Singlegenome	Reconstruction started	60	168	5361	kb|g.10053	5268	68	Salmonella enterica subsp. enterica serovar Typhi str. E00-7866	1	1	4760021	1445	Bacteria	11	52.0303166729727		497976	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Salmonella : Salmonella enterica subsp. enterica serovar Typhi : Salmonella enterica subsp. enterica serovar Typhi str. E00-7866
kb|fm.5037	1351030451	Borrelia burgdorferi WI91-23	0	Singlegenome	Reconstruction started	22	95	748	kb|g.10055	708	0	Borrelia burgdorferi WI91-23	1	1	525599	20	Bacteria	11	27.7801137368983		498737	Bacteria : Spirochaetes : Spirochaetales : Spirochaetaceae : Borrelia : Borrelia burgdorferi group : Borrelia burgdorferi WI91-23
kb|fm.5049	1351030458	Borrelia burgdorferi CA-11.2a	0	Singlegenome	Reconstruction started	22	95	521	kb|g.10056	521	0	Borrelia burgdorferi CA-11.2a	1	1	386788	12	Bacteria	11	27.6164203646442		498739	Bacteria : Spirochaetes : Spirochaetales : Spirochaetaceae : Borrelia : Borrelia burgdorferi group : Borrelia burgdorferi
kb|fm.5005	1351030460	Borrelia spielmanii A14S	0	Singlegenome	Reconstruction started	22	95	328	kb|g.10057	328	0	Borrelia spielmanii A14S	1	1	240989	8	Bacteria	11	25.5733664192142		498742	Bacteria : Spirochaetes : Spirochaetales : Spirochaetaceae : Borrelia : Borrelia burgdorferi group : Borrelia spielmanii A14S
kb|fm.5011	1351030461	Borrelia garinii PBr	0	Singlegenome	Reconstruction started	22	95	524	kb|g.10058	524	0	Borrelia garinii PBr	1	1	361721	11	Bacteria	11	26.9188131183979		498743	Bacteria : Spirochaetes : Spirochaetales : Spirochaetaceae : Borrelia : Borrelia burgdorferi group : Borrelia garinii PBr
kb|fm.5017	1351030471	Pirital virus	0	Singlegenome	Reconstruction started	22	95	5	kb|g.10061	4	0	Pirital virus	1	0	10482	2	Viruses	11	40.4598359091776		49891	Viruses : ssRNA negative-strand viruses : Arenaviridae : Arenavirus : New world arenaviruses : Pirital virus
kb|fm.5035	1351030478	Helicobacter pylori HPKX_438_AG0C1	0	Singlegenome	Reconstruction started	30	107	2941	kb|g.10062	2898	41	Helicobacter pylori HPKX_438_AG0C1	1	1	1819663	2602	Bacteria	11	39.4872567063242		499171	Bacteria : Proteobacteria : Epsilonproteobacteria : Campylobacterales : Helicobacteraceae : Helicobacter : Helicobacter pylori HPKX_438_AG0C1
kb|fm.5023	1351030477	Helicobacter pylori HPKX_438_CA4C1	0	Singlegenome	Reconstruction started	29	105	3977	kb|g.10063	3925	37	Helicobacter pylori HPKX_438_CA4C1	1	1	1566388	3766	Bacteria	11	39.1878640541169		499172	Bacteria : Proteobacteria : Epsilonproteobacteria : Campylobacterales : Helicobacteraceae : Helicobacter : Helicobacter pylori HPKX_438_CA4C1
kb|fm.5029	1351030477	Myxococcus phage Mx8	0	Singlegenome	Reconstruction started	22	95	86	kb|g.10064	86	0	Myxococcus phage Mx8	1	0	49534	1	Viruses	11	67.7453870069044		49964	Viruses : dsDNA viruses, no RNA stage : Caudovirales : Podoviridae : Myxococcus phage Mx8
kb|fm.5047	1351030481	Clostridium hiranonis DSM 13275	0	Singlegenome	Reconstruction started	22	95	2589	kb|g.10065	2271	33	Clostridium hiranonis DSM 13275	1	1	2423348	127	Bacteria	11	31.0155206763535		500633	Bacteria : Firmicutes : Clostridia : Clostridiales : Clostridiaceae : Clostridium : Clostridium hiranonis DSM 13275
kb|fm.5041	1351030480	Providencia rustigianii DSM 4541	0	Singlegenome	Reconstruction started	22	95	3953	kb|g.10066	3856	87	Providencia rustigianii DSM 4541	1	1	3896203	169	Bacteria	11	41.1441344303672		500637	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Providencia : Providencia rustigianii DSM 4541
kb|fm.5020	1351030493	Escherichia albertii TW07627	0	Singlegenome	Reconstruction started	88	217	4966	kb|g.10067	4753	137	Escherichia albertii TW07627	1	1	4698533	64	Bacteria	11	49.8831869436694		502347	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Escherichia : Escherichia albertii TW07627
kb|fm.5026	1351030494	Paracoccidioides brasiliensis pb18 1	0	Singlegenome	Reconstruction started	22	95	9177	kb|g.10068	8733	0	Paracoccidioides brasiliensis pb18 1	1	0	29952433	57	Eukaryota	11	43.5365701343861		502780	Eukaryota : Fungi : Dikarya : Ascomycota : Pezizomycotina : Eurotiomycetes : Eurotiomycetidae : Onygenales : mitosporic Onygenales : Paracoccidioides : Paracoccidioides brasiliensis
kb|fm.5053	1351030489	Psittacid herpesvirus 1	0	Singlegenome	Reconstruction started	22	95	78	kb|g.10070	73	0	Psittacid herpesvirus 1	1	0	163025	1	Viruses	11	60.9458671982825		50294	Viruses : dsDNA viruses, no RNA stage : Herpesvirales : Herpesviridae : Alphaherpesvirinae : Iltovirus : Psittacid herpesvirus 1
kb|fm.5038	1351030496	Aspergillus oryzae	0	Singlegenome	Reconstruction started	22	95	25	kb|g.10073	0	25	Aspergillus oryzae	1	0	29202	1	Eukaryota	11	26.1523183343607		5062	Eukaryota : Fungi : Dikarya : Ascomycota : Pezizomycotina : Eurotiomycetes : Eurotiomycetidae : Eurotiales : Trichocomaceae : mitosporic Trichocomaceae : Aspergillus : Aspergillus oryzae
kb|fm.5032	1351030495	Aspergillus tubingensis	0	Singlegenome	Reconstruction started	22	95	43	kb|g.10074	16	27	Aspergillus tubingensis	1	0	33656	1	Eukaryota	11	26.7768005704778		5068	Eukaryota : Fungi : Dikarya : Ascomycota : Pezizomycotina : Eurotiomycetes : Eurotiomycetidae : Eurotiales : Trichocomaceae : mitosporic Trichocomaceae : Aspergillus : Aspergillus tubingensis
kb|fm.5044	1351030504	Broad bean wilt virus 1	0	Singlegenome	Reconstruction started	22	95	3	kb|g.10076	2	0	Broad bean wilt virus 1	1	0	9263	2	Viruses	11	42.9774371154054		50817	Viruses : ssRNA positive-strand viruses, no DNA stage : Picornavirales : Secoviridae : Comovirinae : Fabavirus : Broad bean wilt virus 1
kb|fm.5050	1351030512	Enterobacteria phage RB49	0	Singlegenome	Reconstruction started	23	98	274	kb|g.10080	274	0	Enterobacteria phage RB49	1	0	164018	1	Viruses	11	40.4419027179944		50948	Viruses : dsDNA viruses, no RNA stage : Caudovirales : Myoviridae : T4-like viruses : Enterobacteria phage RB49
kb|fm.5061	1351030514	Sida golden mosaic virus	0	Singlegenome	Reconstruction started	22	95	7	kb|g.10081	7	0	Sida golden mosaic virus	1	0	5227	2	Viruses	11	46.6806963841592		51034	Viruses : ssDNA viruses : Geminiviridae : Begomovirus : Sida golden mosaic virus
kb|fm.5055	1351030512	Cryphonectria parasitica	0	Singlegenome	Reconstruction started	22	95	1	kb|g.10083	1	0	Cryphonectria parasitica	1	0	1364	1	Eukaryota	11	44.1348973607038		5116	Eukaryota : Fungi : Dikarya : Ascomycota : Pezizomycotina : Sordariomycetes : Sordariomycetidae : Diaporthales : Cryphonectriaceae : Cryphonectria-Endothia complex : Cryphonectria : Cryphonectria parasitica
kb|fm.5073	1351030530	Helicoverpa armigera NPV	0	Singlegenome	Reconstruction started	22	95	137	kb|g.10088	137	0	Helicoverpa armigera NPV	1	0	130759	1	Viruses	11	38.9204567180844		51313	Viruses : dsDNA viruses, no RNA stage : Baculoviridae : Alphabaculovirus : Helicoverpa armigera NPV
kb|fm.5067	1351030528	Cucurbit yellow stunting disorder virus	0	Singlegenome	Reconstruction started	22	95	13	kb|g.10089	12	0	Cucurbit yellow stunting disorder virus	1	0	17099	2	Viruses	11	36.9846189835663		51330	Viruses : ssRNA positive-strand viruses, no DNA stage : Closteroviridae : Crinivirus : Cucurbit yellow stunting disorder virus
kb|fm.5030	1351030532	Cabbage leaf curl virus	0	Singlegenome	Reconstruction started	22	95	7	kb|g.10090	7	0	Cabbage leaf curl virus	1	0	5096	2	Viruses	11	42.7590266875981		51336	Viruses : ssDNA viruses : Geminiviridae : Begomovirus : Cabbage leaf curl virus
kb|fm.5024	1351030532	Maize chlorotic dwarf virus	0	Singlegenome	Reconstruction started	22	95	3	kb|g.10091	1	0	Maize chlorotic dwarf virus	1	0	11832	1	Viruses	11	42.2413793103448		51354	Viruses : ssRNA positive-strand viruses, no DNA stage : Picornavirales : Secoviridae : Waikavirus : Maize chlorotic dwarf virus
kb|fm.5036	1351030536	Mycoplasma yeatsii	0	Singlegenome	Reconstruction started	22	93	2	kb|g.10092	2	0	Mycoplasma yeatsii	1	1	3432	1	Bacteria	11	28.030303030303		51365	Bacteria : Tenericutes : Mollicutes : Mycoplasmataceae : Mycoplasma : Mycoplasma yeatsii
kb|fm.5042	1351030544	Lactobacillus phage A2	0	Singlegenome	Reconstruction started	22	95	62	kb|g.10093	61	0	Lactobacillus phage A2	1	0	43411	1	Viruses	11	44.889544124761		51369	Viruses : dsDNA viruses, no RNA stage : Caudovirales : Siphoviridae : Lactobacillus phage A2
kb|fm.5048	1351030546	Neurospora intermedia	0	Singlegenome	Reconstruction started	22	95	3	kb|g.10094	3	0	Neurospora intermedia	1	0	14805	3	Eukaryota	11	33.0563998649105		5142	Eukaryota : Fungi : Dikarya : Ascomycota : Pezizomycotina : Sordariomycetes : Sordariomycetidae : Sordariales : Sordariaceae : Neurospora : Neurospora intermedia
kb|fm.5060	1351030551	Mycobacterium tuberculosis 02_1987	0	Singlegenome	Reconstruction started	36	125	4440	kb|g.10095	4266	49	Mycobacterium tuberculosis 02_1987	1	1	4443138	215	Bacteria	11	65.3182502996756		515616	Bacteria : Actinobacteria : Actinobacteridae : Actinomycetales : Corynebacterineae : Mycobacteriaceae : Mycobacterium : Mycobacterium tuberculosis complex : Mycobacterium tuberculosis 02_1987
kb|fm.5054	1351030550	Mycobacterium tuberculosis T92	0	Singlegenome	Reconstruction started	36	121	4700	kb|g.10096	4254	44	Mycobacterium tuberculosis T92	1	1	4260358	563	Bacteria	11	65.127226397406		515617	Bacteria : Actinobacteria : Actinobacteridae : Actinomycetales : Corynebacterineae : Mycobacteriaceae : Mycobacterium : Mycobacterium tuberculosis complex : Mycobacterium tuberculosis T92
kb|fm.5066	1351030552	Pediococcus damnosus	0	Singlegenome	Reconstruction started	22	95	3	kb|g.10100	3	0	Pediococcus damnosus	1	1	5558	1	Bacteria	11	35.8582223821519		51663	Bacteria : Firmicutes : Lactobacillales : Lactobacillaceae : Pediococcus : Pediococcus damnosus
kb|fm.5072	1351030558	Xestia c-nigrum granulovirus	0	Singlegenome	Reconstruction started	22	95	181	kb|g.10101	181	0	Xestia c-nigrum granulovirus	1	0	178733	1	Viruses	11	40.6785540443007		51677	Viruses : dsDNA viruses, no RNA stage : Baculoviridae : Betabaculovirus : Xestia c-nigrum granulovirus
kb|fm.5078	1351030561	Ribgrass mosaic virus	0	Singlegenome	Reconstruction started	22	95	5	kb|g.10102	4	0	Ribgrass mosaic virus	1	0	6301	1	Viruses	11	44.3897794000952		51680	Viruses : ssRNA positive-strand viruses, no DNA stage : Virgaviridae : Tobamovirus : Ribgrass mosaic virus
kb|fm.5051	1351030569	Sclerotinia sclerotiorum 1	0	Singlegenome	Reconstruction started	22	95	15028	kb|g.10104	14512	0	Sclerotinia sclerotiorum 1	1	0	38330312	36	Eukaryota	11	41.4824825845404		5180	Eukaryota : Fungi : Dikarya : Ascomycota : Pezizomycotina : Leotiomycetes : Helotiales : Sclerotiniaceae : Sclerotinia : Sclerotinia sclerotiorum
kb|fm.5057	1351030570	Bifidobacterium breve DSM 20213	0	Singlegenome	Reconstruction started	22	95	2325	kb|g.10105	2251	58	Bifidobacterium breve DSM 20213	1	1	2297799	187	Bacteria	11	58.5745750607429		518634	Bacteria : Actinobacteria : Actinobacteridae : Bifidobacteriales : Bifidobacteriaceae : Bifidobacterium : Bifidobacterium breve DSM 20213
kb|fm.5045	1351030566	Bifidobacterium angulatum DSM 20098	0	Singlegenome	Reconstruction started	22	95	2854	kb|g.10106	1846	57	Bifidobacterium angulatum DSM 20098	1	1	2000615	52	Bacteria	11	59.3922868717869		518635	Bacteria : Actinobacteria : Actinobacteridae : Bifidobacteriales : Bifidobacteriaceae : Bifidobacterium : Bifidobacterium angulatum DSM 20098
kb|fm.5063	1351030570	Eubacterium biforme DSM 3989	0	Singlegenome	Reconstruction started	22	95	2902	kb|g.10107	2529	49	Eubacterium biforme DSM 3989	1	1	2415920	205	Bacteria	11	33.7890327494288		518637	Bacteria : Firmicutes : Erysipelotrichi : Erysipelotrichales : Erysipelotrichaceae : Eubacterium biforme DSM 3989
kb|fm.5069	1351030574	Exiguobacterium arabatum	0	Singlegenome	Reconstruction started	22	95	47	kb|g.10108	47	0	Exiguobacterium arabatum	1	1	43508	2	Bacteria	11	46.1386411694401		518693	Bacteria : Firmicutes : Bacillales : Bacillales Family XII. Incertae Sedis : Exiguobacterium : Exiguobacterium arabatum
kb|fm.5080	1351030585	Mycobacterium tuberculosis EAS054	0	Singlegenome	Reconstruction started	36	125	4575	kb|g.10111	4101	47	Mycobacterium tuberculosis EAS054	1	1	4366920	125	Bacteria	11	65.3371025803083		520140	Bacteria : Actinobacteria : Actinobacteridae : Actinomycetales : Corynebacterineae : Mycobacteriaceae : Mycobacterium : Mycobacterium tuberculosis complex : Mycobacterium tuberculosis EAS054
kb|fm.5086	1351030586	Mycobacterium tuberculosis T85	0	Singlegenome	Reconstruction started	35	123	4363	kb|g.10112	4206	44	Mycobacterium tuberculosis T85	1	1	4299331	324	Bacteria	11	65.321883800061		520141	Bacteria : Actinobacteria : Actinobacteridae : Actinomycetales : Corynebacterineae : Mycobacteriaceae : Mycobacterium : Mycobacterium tuberculosis complex : Mycobacterium tuberculosis T85
kb|fm.5075	1351030582	Saccharomyces pastorianus Weihenstephan 34/70	0	Singlegenome	Reconstruction started	22	95	36	kb|g.10113	9	27	Saccharomyces pastorianus Weihenstephan 34/70	1	0	70578	1	Eukaryota	11	19.0824336195415		520522	Eukaryota : Fungi : Dikarya : Ascomycota : Saccharomycotina : Saccharomycetes : Saccharomycetales : Saccharomycetaceae : Saccharomyces : Saccharomyces pastorianus Weihenstephan 34/70
kb|fm.5052	1351030591	Providencia rettgeri DSM 1131	0	Singlegenome	Reconstruction started	22	95	4804	kb|g.10115	4724	67	Providencia rettgeri DSM 1131	1	1	4657150	350	Bacteria	11	40.0758618468377		521000	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Providencia : Providencia rettgeri DSM 1131
kb|fm.5093	1351030590	Borrelia burgdorferi N40	0	Singlegenome	Reconstruction started	22	95	64	kb|g.10117	64	0	Borrelia burgdorferi N40	1	1	53786	1	Bacteria	11	28.1374335328896		521007	Bacteria : Spirochaetes : Spirochaetales : Spirochaetaceae : Borrelia : Borrelia burgdorferi group : Borrelia burgdorferi N40
kb|fm.5098	1351030590	Borrelia burgdorferi JD1	0	Singlegenome	Reconstruction started	22	95	63	kb|g.10118	63	0	Borrelia burgdorferi JD1	1	1	52916	1	Bacteria	11	28.1975205986847		521008	Bacteria : Spirochaetes : Spirochaetales : Spirochaetaceae : Borrelia : Borrelia burgdorferi group : Borrelia burgdorferi JD1
